title,filename,latest_version,previous_version,updated
Config Explorer,config-explorer.json,1.7.16,1.7.15,2024-05-31 06:44:41
Crypto and Encoding Add-On,crypto-and-encoding-add-on.json,2.4.1,2.4.0,2025-01-29 08:06:15
Eventgen,eventgen.json,8.1.2,8.0.1,2024-01-08 23:07:46
InfoSec App for Splunk,infosec-app-for-splunk.json,1.7.0,1.6.4,2023-08-25 04:04:32
MITRE ATTACK App for Splunk,mitre-attack-app-for-splunk.json,3.12.0,3.11.0,2025-01-10 07:38:41
SA-DetectionInsights,sa-detectioninsights.json,1.2.0,1.1.0,2024-12-20 09:40:34
Splunk Add-on Builder,splunk-add-on-builder.json,4.4.1,4.3.0,2025-01-15 17:49:31
Splunk Add-on for Apache Web Server,splunk-add-on-for-apache-web-server.json,2.1.0,N/A,2022-11-12 08:16:47
Splunk Add-on for Microsoft Windows,splunk-add-on-for-microsoft-windows.json,9.0.1,8.9.0,2024-11-13 10:50:26
Splunk Add-on for NGINX,splunk-add-on-for-nginx.json,3.3.0,N/A,2024-09-13 05:43:55
Splunk Add-on for Unix and Linux,splunk-add-on-for-unix-and-linux.json,10.0.0,9.2.0,2025-02-04 11:38:22
Splunk App for Anomaly Detection,splunk-app-for-anomaly-detection.json,1.1.2,1.0.0,2024-03-28 05:26:24
Splunk App for Lookup File Editing,splunk-app-for-lookup-file-editing.json,4.0.5,4.0.4,2025-02-05 23:01:08
Splunk App for Splunk Attack Analyzer,splunk-app-for-splunk-attack-analyzer.json,1.2.0,1.1.1,2024-09-25 16:02:11
Splunk Common Information Model (CIM),splunk-common-information-model-cim.json,6.0.2,6.0.1,2025-01-22 05:27:06
Splunk Connect for Syslog,splunk-connect-for-syslog.json,N/A,N/A,1970-01-01 00:00:00
Splunk Dashboard Examples,splunk-dashboard-examples.json,8.2.6,N/A,2023-01-05 01:40:33
Splunk Enterprise Security,splunk-enterprise-security.json,8.0.2,7.3.2,2025-01-22 22:33:53
Splunk ES Content Update,splunk-es-content-update.json,5.0.0,4.44.0,2025-01-31 18:54:20
Splunk Security Essentials,splunk-security-essentials.json,3.8.1,3.7.1,2024-10-24 15:33:13
Splunk Supporting Add-on for Active Directory,splunk-supporting-add-on-for-active-directory.json,3.1.1,N/A,2024-12-10 16:23:41
Stamus Networks App for Splunk,stamus-networks-app-for-splunk.json,1.0.4,1.0.3,2025-01-01 07:34:05
TheHive/Cortex,thehivecortex.json,3.6.2,3.6.1,2025-01-31 15:08:33
ThreatQuotient App for Splunk,threatquotient-app-for-splunk.json,2.9.0,2.8.0,2025-01-30 10:05:02
